cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,ml_score,graph_adoption_score,actionability_score,hybrid_adoption_score,hybrid_actionability_score
2026,ion-dipole interaction transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,18,21,4,13,15,18,10,2.7360743621159815,378,2,0.08919570857211101,1,0,1,1,1,0.8992183735022683,1.6755421686746987,1.855542168674699,0.9421686746987952,1.1221686746987953
2026,nanochannel-confined ion transport,double-network hydrogel mechanics,transport_mechanism,gel_microstructure,19,20,7,11,19,16,10,2.7368102317702814,380,2,0.03092687411184163,1,6,1,1,1,0.9123861633665813,1.6575903614457832,1.8375903614457834,0.939156626506024,1.1191566265060242
2026,soft mixed ionic-electronic coupling,organic redox molecular design,transport_mechanism,redox_chemistry,16,20,3,13,16,16,10,2.8007698684705424,320,2,0.026691098336813237,1,10,1,1,1,0.92924345182998,1.619156626506024,1.7991566265060241,0.936144578313253,1.116144578313253
2026,ion-dipole interaction transport,MXene-reinforced thermogalvanic gel,transport_mechanism,material_system,18,23,4,13,15,16,13,3.668234118158922,414,2,0.0,1,0,1,1,1,0.9092224037932236,1.6422289156626506,1.8222289156626508,0.9331325301204819,1.113132530120482
2026,redox-solvation hybrid entropy,cellulose nanofiber scaffold,solvation_entropy,gel_microstructure,15,31,9,19,12,29,8,2.258661877563695,465,2,0.0,1,4,1,1,1,0.940169140476077,1.6107831325301205,1.7907831325301207,0.9331325301204819,1.113132530120482
2026,soft mixed ionic-electronic coupling,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,16,23,3,18,16,14,10,2.7926272944198653,368,2,0.004832603510390905,1,10,1,1,1,0.9433348804539529,1.6043373493975903,1.7843373493975905,0.9313253012048193,1.1113253012048194
2026,nanochannel-confined ion transport,organic redox molecular design,transport_mechanism,redox_chemistry,19,20,7,13,19,16,12,3.2983076603574712,380,2,0.0,1,6,1,1,1,0.9190994693771692,1.618855421686747,1.7988554216867472,0.9265060240963855,1.1065060240963855
2026,soft mixed ionic-electronic coupling,double-network hydrogel mechanics,transport_mechanism,gel_microstructure,16,20,3,11,16,16,10,2.724170305558074,320,2,0.009159737396285962,1,10,1,1,1,0.9148746845202662,1.5899999999999999,1.77,0.9114457831325301,1.0914457831325302
2026,redox-solvation hybrid entropy,charge-transfer resistance engineering,solvation_entropy,electrode_interface,15,31,9,31,12,14,6,1.7120483702577916,465,2,0.012573526419131897,1,4,1,1,1,0.9004542677312151,1.6141566265060239,1.794156626506024,0.9114457831325301,1.0914457831325302
2026,ion-dipole interaction transport,interpenetrating-network thermogalvanic hydrogel,transport_mechanism,gel_microstructure,18,17,4,11,15,11,11,3.0304133382510283,306,2,0.07410502780918853,1,0,1,1,1,0.8829870369052091,1.639036144578313,1.8190361445783132,0.9090361445783133,1.0890361445783134
