model,params,roc_auc,average_precision,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,precision_at_100,hits_at_100
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.7,0.8340517241379312,0.6133882918663027,0.9,9,0.72,18,0.58,29,0.41,41
random_forest,n=600; min_leaf=4; max_features=sqrt,0.8356376057254392,0.607128080769509,0.8,8,0.72,18,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.8,0.835718932986337,0.6062637848326169,0.9,9,0.72,18,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.7,0.8206733897202343,0.6055423737459696,0.8,8,0.72,18,0.58,29,0.38,38
random_forest,n=300; min_leaf=8; max_features=0.6,0.8253090435914119,0.5953343393160029,0.8,8,0.72,18,0.62,31,0.36,36
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.8,0.8207140533506831,0.5912395861811683,0.8,8,0.72,18,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.8,0.8161190631099544,0.5855783900529213,0.8,8,0.72,18,0.56,28,0.37,37
random_forest,n=300; min_leaf=2; max_features=0.6,0.8190468445022772,0.5812258173026577,0.8,8,0.72,18,0.58,29,0.38,38
random_forest,n=600; min_leaf=2; max_features=1.0,0.8154684450227717,0.5704269118966444,0.8,8,0.72,18,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.9,0.8110361093038386,0.5654470191078858,0.8,8,0.72,18,0.58,29,0.37,37
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.3,0.8444209499024072,0.623442333162518,1.0,10,0.68,17,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.6,0.8414118412491868,0.6206084159335095,0.9,9,0.68,17,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.4,0.8436483409238777,0.6188623565414408,0.9,9,0.68,17,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.6,0.841818477553676,0.6157634427193598,1.0,10,0.68,17,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.5,0.842387768379961,0.6151613575987652,1.0,10,0.68,17,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.0,0.8421031229668184,0.614838072021547,0.9,9,0.68,17,0.56,28,0.43,43
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.2,0.8420217957059206,0.6143243940268942,0.9,9,0.68,17,0.58,29,0.43,43
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.3,0.8417778139232269,0.6139227360744194,0.9,9,0.68,17,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.1,0.8416151594014315,0.6138275626261563,0.9,9,0.68,17,0.58,29,0.43,43
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.4,0.8409238776837997,0.6117704423962437,0.9,9,0.68,17,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.6,0.8405579050097592,0.6094826817288931,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.5,0.8405579050097594,0.6093188514342496,0.9,9,0.68,17,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.7,0.840191932335719,0.6091178157703863,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.9,0.8366541964866623,0.6055298957167917,0.9,9,0.68,17,0.56,28,0.4,40
graph_rule,fixed,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.0,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.1,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.2,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.3,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.4,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.5,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.6,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.7,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.8,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=0.9,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=1.0; lr_weight=1.0,0.8379554326610281,0.6033526471676507,0.9,9,0.68,17,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.8,0.8303513337670788,0.5983077759356519,0.9,9,0.68,17,0.58,29,0.39,39
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.8,0.8255936890045543,0.5960133168721253,0.8,8,0.68,17,0.58,29,0.38,38
random_forest,n=600; min_leaf=12; max_features=sqrt,0.8421437865972674,0.5951220159818645,0.8,8,0.68,17,0.58,29,0.4,40
random_forest,n=300; min_leaf=12; max_features=sqrt,0.8411678594664932,0.5931552505750706,0.8,8,0.68,17,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.9,0.8328318152244633,0.5929040029332473,0.9,9,0.68,17,0.56,28,0.39,39
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.9,0.8289281067013664,0.5918597592443158,0.9,9,0.68,17,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.5; lr_weight=1.0,0.8304326610279766,0.5900139771380764,0.9,9,0.68,17,0.56,28,0.38,38
hybrid_rank_blend,graph_weight=0.4; lr_weight=1.0,0.8259596616785947,0.5888758420940428,0.8,8,0.68,17,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.3; lr_weight=1.0,0.8190468445022772,0.5846567936733087,0.8,8,0.68,17,0.6,30,0.38,38
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.9,0.8225032530904358,0.5840111283643795,0.8,8,0.68,17,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.9,0.8167290175666884,0.5778658602645325,0.8,8,0.68,17,0.6,30,0.37,37
hybrid_rank_blend,graph_weight=0.2; lr_weight=1.0,0.8129472999349382,0.5739409237070847,0.8,8,0.68,17,0.6,30,0.37,37
random_forest,n=300; min_leaf=2; max_features=1.0,0.8120527000650618,0.5608303355042672,0.8,8,0.68,17,0.56,28,0.38,38
hybrid_rank_blend,graph_weight=0.1; lr_weight=1.0,0.8052212101496421,0.5602272901017519,0.8,8,0.68,17,0.56,28,0.37,37
logistic_regression,C=1,0.7973324658425505,0.549820195256506,0.8,8,0.68,17,0.52,26,0.37,37
ml_blend,lr_weight=1.0; lr_C1; rf_n600_leaf8_mf1.0,0.7973324658425505,0.549820195256506,0.8,8,0.68,17,0.52,26,0.37,37
hybrid_rank_blend,graph_weight=0.0; lr_weight=1.0,0.7973324658425505,0.549820195256506,0.8,8,0.68,17,0.52,26,0.37,37
logistic_regression,C=3,0.7950553025374105,0.5454144985256413,0.8,8,0.68,17,0.52,26,0.38,38
logistic_regression,C=10,0.7927781392322707,0.5453603193816414,0.8,8,0.68,17,0.54,27,0.38,38
logistic_regression,C=0.1,0.8053838646714379,0.5441429889688988,0.8,8,0.68,17,0.54,27,0.37,37
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.7,0.8400292778139233,0.6168771401141975,1.0,10,0.64,16,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.8,0.8381180871828238,0.6110307587418308,1.0,10,0.64,16,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.8,0.840232595966168,0.6091277051593739,0.9,9,0.64,16,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.9; lr_weight=0.9,0.8398259596616785,0.6045513429285297,0.9,9,0.64,16,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.6; lr_weight=1.0,0.8348243331164606,0.5985457868976588,0.9,9,0.64,16,0.56,28,0.4,40
logistic_regression,C=0.3,0.7996909564085881,0.5445470560913437,0.8,8,0.64,16,0.56,28,0.37,37
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.7,0.8404765777488614,0.6113370277857022,1.0,10,0.6,15,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.8,0.8395413142485361,0.6105544407026845,1.0,10,0.6,15,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.6,0.8414931685100846,0.609745808532797,0.9,9,0.6,15,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.8,0.8408832140533508,0.60964964359161,1.0,10,0.6,15,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.7,0.840720559531555,0.6095193589130478,1.0,10,0.6,15,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.9,0.8389720234222512,0.6056281623916875,1.0,10,0.6,15,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.7; lr_weight=1.0,0.8386873780091086,0.6039559310376099,1.0,10,0.6,15,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.9,0.8397446324007808,0.603200712757945,0.9,9,0.6,15,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.9; lr_weight=1.0,0.8392566688353936,0.6021658308945942,0.9,9,0.6,15,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.8; lr_weight=1.0,0.8397446324007808,0.6012780443022502,0.9,9,0.6,15,0.56,28,0.41,41
logistic_regression,C=0.03,0.809775536759922,0.5426041629641828,0.7,7,0.6,15,0.56,28,0.37,37
