pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-9af9ef6e6f51,MP1-iTE-P0334-02,MP1-TG-P0174-02,P0334,P0174,0,0.8017431646585464,0.6211330570280552,0.4969064456224442,0.0,0.5,0.0,9af9ef6e6f514816e58b71d0b643e9b803e97b4c795b02e127419218b8041aed
PAIR-0f4cc3bc5b4d,MP1-iTE-P0334-02,MP1-TG-P0174-03,P0334,P0174,0,0.8707937896251678,0.6660159632563591,0.5394794372717541,0.03333333333333333,0.5,0.0,0f4cc3bc5b4d2697782fcb89dfd478250c8f8c888f0b4710b4a57fa04fe39ddd
PAIR-ac4aaf6fa6c2,MP1-iTE-P0334-02,MP1-TG-P0174-04,P0334,P0174,0,0.860264465212822,0.6591719023883342,0.5344803790535245,0.03571428571428571,0.5,0.0,ac4aaf6fa6c2269e68facd9c7f901c70ea7fe18a37a6d895e6d27e9cf502d433
PAIR-eec5b6a12994,MP1-iTE-P0334-02,MP1-TG-P0175-03,P0334,P0175,0,0.7086939364671707,0.46065105870366096,0.3685208469629288,0.0,0.0,0.0,eec5b6a12994265de63d6160b3f036fbb0af5c6f1e9651d8144409c47d6483a5
PAIR-3efc364b40ee,MP1-iTE-P0334-02,MP1-TG-P0176-01,P0334,P0176,0,0.7669695913791656,0.5985302343964577,0.47882418751716616,0.0,0.5,0.0,3efc364b40ee7e5662fbe5d4fb424a5d30193cd2d54df6f190cce786a0ebae5b
PAIR-7e8aba76d84e,MP1-iTE-P0334-02,MP1-TG-P0176-02,P0334,P0176,0,0.8272255957126617,0.6376966372132301,0.5101573097705842,0.0,0.5,0.0,7e8aba76d84e008a328aadfa1c4c5c7fcc836b8a20678d0c7add73cc3641a755
PAIR-a61331959935,MP1-iTE-P0334-02,MP1-TG-P0180-01,P0334,P0180,0,0.8516493439674377,0.6535720735788345,0.5295243255297344,0.03333333333333333,0.5,0.0,a613319599352dfba2a22d6707dce3e492ecc0b770e5e20a81e964d6f2e64f22
PAIR-1db0339ca647,MP1-iTE-P0334-02,MP1-TG-P0188-01,P0334,P0188,0,0.7010900229215622,0.5557085148990154,0.4445668119192123,0.0,0.5,0.0,1db0339ca647b7eb95844ccab775196145e19f6231959700531f5708ff076022
PAIR-6acc308f1c4d,MP1-iTE-P0334-02,MP1-TG-P0197-01,P0334,P0197,0,0.7048462331295013,0.4581500515341759,0.3665200412273407,0.0,0.0,0.0,6acc308f1c4d9f86ba704ea035c7b19f52423c7527a1b190b41a802dac91bf97
PAIR-e30cd5270feb,MP1-iTE-P0334-02,MP1-TG-P0197-02,P0334,P0197,0,0.7291361093521118,0.4739384710788727,0.37915077686309817,0.0,0.0,0.0,e30cd5270febe0a67fd3b79385a758a2d436d7ad9f509555215086cf6f846ca1
PAIR-bcf4a8a8f786,MP1-iTE-P0334-02,MP1-TG-P0197-03,P0334,P0197,0,0.743256151676178,0.5831164985895158,0.4664931988716126,0.0,0.5,0.0,bcf4a8a8f786e09f9af62023e47133ac72b0cf45f404640254bfa2ba9c160edc
PAIR-2107e38dea26,MP1-iTE-P0334-02,MP1-TG-P0227-01,P0334,P0227,0,0.8946405500173569,0.6815163575112819,0.5518797526756922,0.03333333333333333,0.5,0.0,2107e38dea264b978ce6fef3a4c7d92040f9cd279f3d0779b08ffb4794459dad
PAIR-a4a36a2099ec,MP1-iTE-P0334-02,MP1-TG-P0227-02,P0334,P0227,0,0.8855940401554108,0.675636126101017,0.5471755675474803,0.03333333333333333,0.5,0.0,a4a36a2099ec2597bf7433b01cf1118c020b30a41070861688c2c9e0caaa252a
PAIR-4ec2271ec7c8,MP1-iTE-P0334-02,MP1-TG-P0247-04,P0334,P0247,0,0.8741590231657028,0.6682033650577068,0.5417055491890226,0.03571428571428571,0.5,0.0,4ec2271ec7c86f3697e1497a2d790348ef89b0f6961e521120896b3af800b0fd
PAIR-bd815c36d0ed,MP1-iTE-P0334-02,MP1-TG-P0267-02,P0334,P0267,0,0.8565022945404053,0.6567264914512634,0.5325240503038678,0.03571428571428571,0.5,0.0,bd815c36d0edb575b47e1cf6257b85022320c8208d298fcbb025b1f62b65f8d9
PAIR-952f2869f87f,MP1-iTE-P0334-02,MP1-TG-P0268-02,P0334,P0268,0,0.7514890134334564,0.4884678587317467,0.3907742869853974,0.0,0.0,0.0,952f2869f87f7a33f76c48ce3305d1d2e233e789fb1a42a69896e59eb1bde149
PAIR-8b16c75e966d,MP1-iTE-P0334-02,MP1-TG-P0174-05,P0334,P0174,0,0.8041888326406479,0.6227227412164211,0.4981781929731369,0.0,0.5,0.0,8b16c75e966d711ad2562079fcea1579f84fda096cde032dee36ae578430ebff
PAIR-fc915906408b,MP1-iTE-P0335-01,MP1-TG-P0003-01,P0335,P0003,0,0.7402573823928833,0.48116729855537416,0.3849338388442993,0.0,0.0,0.0,fc915906408b14335ef98ae004affa848f00d05e00f3e305485194d5ca7f6348
PAIR-ab21d986b4ee,MP1-iTE-P0335-01,MP1-TG-P0141-01,P0335,P0141,0,0.7528901547193527,0.4893786005675793,0.39150288045406345,0.0,0.0,0.0,ab21d986b4eea99a9e92f1d0894cab5c64008ae07775713a75f1151ed78e0243
PAIR-6a159ead402b,MP1-iTE-P0335-01,MP1-TG-P0143-01,P0335,P0143,0,0.7391304075717926,0.4804347649216652,0.3843478119373322,0.0,0.0,0.0,6a159ead402b6367c1c3bf9716bbc341a71568dcdaa52f845a965136aced3670
PAIR-cda2df11f627,MP1-iTE-P0335-01,MP1-TG-P0143-02,P0335,P0143,0,0.7353664487600327,0.47798819169402124,0.382390553355217,0.0,0.0,0.0,cda2df11f6271cb0788ed4e1c3c16eea119c5b1aed2138a4f78df5c4f9ddd7df
PAIR-4b9dcf5336b3,MP1-iTE-P0335-01,MP1-TG-P0145-01,P0335,P0145,0,0.7426491230726242,0.48272192999720576,0.3861775439977646,0.0,0.0,0.0,4b9dcf5336b32bc9095be8a312f67a3149fedd634341561a3fc55d1dd5c06038
PAIR-224280c6541e,MP1-iTE-P0335-01,MP1-TG-P0145-02,P0335,P0145,0,0.757436141371727,0.6423334918916226,0.5138667935132981,0.0,0.0,1.0,224280c6541e4d7a11c82d8d255af5edb62d71ff0f84e223ada124d7e5eab654
PAIR-aa3783cb3ead,MP1-iTE-P0335-01,MP1-TG-P0145-03,P0335,P0145,0,0.7505974471569061,0.637888340651989,0.5103106725215912,0.0,0.0,1.0,aa3783cb3ead939f6ad099345a49438c1e25519745c2642b352987939996e14a
PAIR-6b9bab1ea4f4,MP1-iTE-P0335-01,MP1-TG-P0146-01,P0335,P0146,0,0.8198614865541458,0.6329099662601948,0.6063279730081559,0.5,0.5,0.0,6b9bab1ea4f4cdf059b9f8f3da3420765fc34cbc6ea9060871bb6e4f34165d0a
PAIR-8b5edc8ff4d9,MP1-iTE-P0335-01,MP1-TG-P0146-02,P0335,P0146,0,0.7798370271921158,0.6068940676748753,0.5855152541399002,0.5,0.5,0.0,8b5edc8ff4d98b11f3552a25db3d8de03c45f3520e854b92aa93559f16b8d367
PAIR-cac2eee13dfc,MP1-iTE-P0335-01,MP1-TG-P0146-03,P0335,P0146,0,0.7733526825904846,0.602679243683815,0.582143394947052,0.5,0.5,0.0,cac2eee13dfcf0a04dc9d15c590a52de16a91c75f27e300d464e32a4d14b17b2
PAIR-773daac1190f,MP1-iTE-P0335-01,MP1-TG-P0146-04,P0335,P0146,0,0.7451541274785995,0.4843501828610897,0.3874801462888718,0.0,0.0,0.0,773daac1190f2dd1b42127c7c5a1b94a1442c5fbcb03abb23046a9cbd312d095
PAIR-1ef99bf37cf3,MP1-iTE-P0335-01,MP1-TG-P0146-05,P0335,P0146,0,0.7426491230726242,0.48272192999720576,0.3861775439977646,0.0,0.0,0.0,1ef99bf37cf31a8de44882ab610fe7118b191854625fdaf6d4d3200989a6fbf1
PAIR-fd124ca6243b,MP1-iTE-P0335-01,MP1-TG-P0174-04,P0335,P0174,0,0.7561352998018265,0.49148794487118724,0.39319035589694984,0.0,0.0,0.0,fd124ca6243b7d1f951b6010b19b28850689f0de1b7206c49e667a333c1e4a56
