cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,ethylene-glycol organohydrogel,silica/inorganic nanoparticle filler,8,13,4,6,5,7,6,2.114316442757894,104,2,16,13,6,5,0.4401342522848988,1.3818501170960187,0.701288056206089,0.4401342522848988
2026,graphene/graphene-oxide scaffold,metal-oxide electrode,15,8,7,5,11,4,3,1.0457409500822887,120,1,0,33,8,6,0.4399575448903447,1.2236533957845435,0.6487119437939111,0.4399575448903447
2026,PNIPAM thermoresponsive polymer,acetonitrile/nitrile solvent,3,5,1,4,2,2,2,0.7236794459466142,15,2,0,2,1,6,0.437399710743153,0.4829625292740047,0.38149882903981264,0.437399710743153
2026,ethylene-glycol organohydrogel,metal-oxide electrode,8,8,4,5,5,4,3,0.9954005659172347,64,2,16,13,6,6,0.43730381091329373,0.9977166276346604,0.5679156908665105,0.43730381091329373
2026,ethylene-glycol organohydrogel,ionic-liquid electrolyte,8,20,4,5,5,19,5,1.8099489127786486,160,1,16,13,6,12,0.43462375482165994,1.6239461358313814,0.7786885245901638,0.43462375482165994
2026,silica/inorganic nanoparticle filler,iodide/triiodide electrolyte,13,13,6,11,7,8,6,2.634684424133451,169,2,27,16,5,14,0.4344460598568457,1.6749414519906325,0.7930913348946136,0.4344460598568457
2026,Cu-based redox electrolyte,acetonitrile/nitrile solvent,8,5,4,4,6,2,1,0.45511961331341866,40,2,0,10,8,6,0.43244258553191184,0.5546252927400468,0.40257611241217794,0.43244258553191184
2026,MXene scaffold,K-salt electrolyte,14,14,7,8,8,11,7,2.4690123207283303,196,1,3,9,5,12,0.42726834626906196,1.7905152224824352,0.83711943793911,0.42726834626906196
2026,PNIPAM thermoresponsive polymer,porous carbon electrode,3,9,1,9,2,2,2,0.6734314725904427,27,2,0,2,1,8,0.4257665376950754,0.5314988290398126,0.3933255269320842,0.4257665376950754
2026,MXene scaffold,ionic-liquid electrolyte,14,20,7,5,8,19,8,3.0689564687254998,280,1,3,9,5,12,0.4149801218621991,1.9648711943793908,0.8963700234192037,0.4149801218621991
