cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window,ml_score,graph_score,hybrid_score,material_prediction_score
2022,TEMPO/viologen organic redox,cellulose nanofiber matrix,2,11,0,3,2,8,1,0.36067376022224085,22,1,2,2,0,2,0,,2023-2026,0.05434519453409618,0.9565843621399177,0.3135802469135802,0.05434519453409618
2022,TEMPO/viologen organic redox,Li-salt electrolyte,2,9,0,2,2,7,2,0.7777061516464872,18,2,2,2,0,3,0,,2023-2026,0.053774825280022705,1.022633744855967,0.3429012345679012,0.053774825280022705
2022,deep-eutectic electrolyte,Li-salt electrolyte,2,9,0,2,2,7,1,0.43429448190325176,18,2,8,2,0,3,0,,2023-2026,0.050890977208253745,0.9082304526748972,0.28930041152263375,0.050890977208253745
2022,chitosan matrix,gelatin matrix,3,8,0,5,3,5,2,0.7631033646040855,24,2,9,3,0,4,0,,2023-2026,0.05080995651917308,1.1513374485596706,0.3841563786008231,0.05080995651917308
2022,chitosan matrix,Li-salt electrolyte,3,9,0,2,3,7,2,0.7949682421254927,27,2,9,3,0,3,0,,2023-2026,0.04947539948129516,1.2281893004115225,0.4067901234567901,0.04947539948129516
2022,chitosan matrix,PVA polymer matrix,3,12,0,3,3,9,2,0.7949682421254927,36,1,9,3,0,2,0,,2023-2026,0.048393544663844365,1.395679012345679,0.4534979423868313,0.048393544663844365
2022,chitosan matrix,cellulose nanofiber matrix,3,11,0,3,3,8,3,1.1973978465073372,33,2,9,3,0,2,0,,2023-2026,0.04560505865769849,1.3914609053497942,0.4493827160493827,0.04560505865769849
2022,cellulose nanofiber matrix,ionic-liquid electrolyte,11,16,3,3,8,15,8,4.416253685337273,176,1,1,17,2,8,0,,2023-2026,0.04479149708965384,2.0090534979423866,0.6565843621399177,0.04479149708965384
2022,PEDOT:PSS conductor,cyclodextrin host,10,1,0,1,10,0,0,0.0,10,3,11,46,0,2,0,,2023-2026,0.044587979449580276,0.44526748971193414,0.11748971193415639,0.044587979449580276
2022,TEMPO/viologen organic redox,ionic-liquid electrolyte,2,16,0,3,2,15,1,0.4170323914242463,32,1,2,2,0,8,0,,2023-2026,0.044536432378971855,1.143724279835391,0.37283950617283956,0.044536432378971855
2022,PVA polymer matrix,acetonitrile/nitrile solvent,12,4,3,3,9,2,2,0.8157933735356595,48,2,8,10,2,4,0,,2023-2026,0.04350006280525939,1.390946502057613,0.44094650205761315,0.04350006280525939
2022,deep-eutectic electrolyte,PVA polymer matrix,2,12,0,3,2,9,1,0.43429448190325176,24,1,8,2,0,2,1,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,2023-2026,0.042172567627133846,1.0839506172839506,0.348559670781893,0.042172567627133846
2022,PVA polymer matrix,ionic-liquid electrolyte,12,16,3,3,9,15,7,3.4898849098638665,192,1,8,10,2,8,0,,2023-2026,0.04053501404109905,2.03179012345679,0.6547325102880659,0.04053501404109905
2022,deep-eutectic electrolyte,ionic-liquid electrolyte,2,16,0,3,2,15,2,0.8367240862850964,32,2,8,2,0,8,0,,2023-2026,0.03681158791414927,1.2780864197530863,0.407201646090535,0.03681158791414927
2022,PEDOT:PSS conductor,Prussian-blue/hexacyanoferrate electrode,10,3,0,3,10,1,2,1.8325662861402434,30,2,11,46,0,3,0,,2023-2026,0.03440679601969142,1.3793209876543209,0.4298353909465021,0.03440679601969142
2022,deep-eutectic electrolyte,cellulose nanofiber matrix,2,11,0,3,2,8,2,0.8367240862850964,22,2,8,2,0,2,0,,2023-2026,0.026962443360107505,1.1381687242798353,0.36152263374485594,0.026962443360107505
2022,PEDOT:PSS conductor,PVA polymer matrix,10,12,0,3,10,9,5,3.520511664413568,120,1,11,46,0,2,1,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,2023-2026,0.022200698286302542,1.9723251028806585,0.6329218106995885,0.022200698286302542
2022,TEMPO/viologen organic redox,PVA polymer matrix,2,12,0,3,2,9,2,0.7777061516464872,24,2,2,2,0,2,0,,2023-2026,0.022116028381182824,1.1213991769547325,0.35195473251028814,0.022116028381182824
2022,PVA polymer matrix,metal-oxide electrode,12,1,3,0,9,1,0,0.0,12,3,8,10,2,2,1,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,2023-2026,0.01561819582366332,0.4772633744855967,0.12047325102880659,0.01561819582366332
