edge_id,source_node,edge_type,target_node,evidence_ref,verified
E_a6a1e9f6a62b,insight:INSIGHT_32250B000A,expresses_lever,lever:hydration_and_solvation,INSIGHT_32250B000A,False
E_9978da83f006,insight:INSIGHT_32250B000A,expresses_lever,lever:antifreeze_or_low_volatility_gel,INSIGHT_32250B000A,False
E_1eb30a273b26,insight:INSIGHT_32250B000A,expresses_lever,lever:electrode_interface,INSIGHT_32250B000A,False
E_82ff6ce36b86,paper:P0350,reports,insight:INSIGHT_EF3D0F3F0B,P0350,True
E_621e117cce9a,insight:INSIGHT_EF3D0F3F0B,expresses_lever,lever:ph_or_protonation_switch,INSIGHT_EF3D0F3F0B,False
E_7ce672877088,paper:P0351,reports,insight:INSIGHT_D9DE4335D5,P0351,True
E_c5513364dcaf,paper:P0351,reports,insight:INSIGHT_4137CDA5FC,P0351,True
E_25e068faa777,insight:INSIGHT_4137CDA5FC,expresses_lever,lever:electrode_interface,INSIGHT_4137CDA5FC,False
E_17b7d33ca984,paper:P0352,reports,insight:INSIGHT_408BC8545A,P0352,True
E_4bd928e521c1,paper:P0353,reports,insight:INSIGHT_77A053E73B,P0353,True
E_df66be6cd3b2,insight:INSIGHT_77A053E73B,expresses_lever,lever:ion_electron_coupling,INSIGHT_77A053E73B,False
E_5ec691e14ba3,paper:P0354,reports,insight:INSIGHT_134AFB3BD6,P0354,True
E_863833697b3a,insight:INSIGHT_134AFB3BD6,expresses_lever,lever:ph_or_protonation_switch,INSIGHT_134AFB3BD6,False
E_680ea3d98b75,paper:P0355,reports,insight:INSIGHT_7ADD248CA7,P0355,True
E_e304bf64ea92,insight:INSIGHT_7ADD248CA7,expresses_lever,lever:coordination_or_ion_pairing,INSIGHT_7ADD248CA7,False
E_44078527cf9d,insight:INSIGHT_7ADD248CA7,expresses_lever,lever:hydration_and_solvation,INSIGHT_7ADD248CA7,False
E_75294f8546d2,insight:INSIGHT_7ADD248CA7,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_7ADD248CA7,False
E_552d42a564c2,insight:INSIGHT_7ADD248CA7,expresses_lever,lever:self_healing_or_tough_gel,INSIGHT_7ADD248CA7,False
E_6aa610817959,paper:P0356,reports,insight:INSIGHT_DA595AAEAE,P0356,True
E_56123021988d,insight:INSIGHT_DA595AAEAE,expresses_lever,lever:electrode_interface,INSIGHT_DA595AAEAE,False
E_2fad68cb61d4,paper:P0357,reports,insight:INSIGHT_15BC6EEC21,P0357,True
E_2634634574dd,insight:INSIGHT_15BC6EEC21,expresses_lever,lever:polarity_switching,INSIGHT_15BC6EEC21,False
E_de907737857e,paper:P0357,reports,insight:INSIGHT_0D26BEE362,P0357,True
E_fbfb8e07e476,paper:P0358,reports,insight:INSIGHT_0EB0F34061,P0358,True
E_e2aa65a46813,insight:INSIGHT_0EB0F34061,expresses_lever,lever:self_healing_or_tough_gel,INSIGHT_0EB0F34061,False
E_16e6bbc9a069,insight:INSIGHT_0EB0F34061,expresses_lever,lever:photothermal_or_heat_management,INSIGHT_0EB0F34061,False
E_2b880b516b49,paper:P0358,reports,insight:INSIGHT_23371E2918,P0358,True
E_93cf6b2dbe0d,insight:INSIGHT_23371E2918,expresses_lever,lever:self_healing_or_tough_gel,INSIGHT_23371E2918,False
E_8676c05d5807,paper:P0360,reports,insight:INSIGHT_D3547F60D9,P0360,True
E_463b2c32c13c,insight:INSIGHT_D3547F60D9,expresses_lever,lever:fixed_charge_selectivity,INSIGHT_D3547F60D9,False
E_e1aaad8c00f5,insight:INSIGHT_D3547F60D9,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_D3547F60D9,False
E_6efd6ad42028,insight:INSIGHT_D3547F60D9,expresses_lever,lever:osmotic_or_concentration_gradient,INSIGHT_D3547F60D9,False
E_9839de24b045,paper:P0360,reports,insight:INSIGHT_8D39BEA40A,P0360,True
E_602182d191a1,insight:INSIGHT_8D39BEA40A,expresses_lever,lever:fixed_charge_selectivity,INSIGHT_8D39BEA40A,False
E_f1cf3f815650,insight:INSIGHT_8D39BEA40A,expresses_lever,lever:ph_or_protonation_switch,INSIGHT_8D39BEA40A,False
E_ce6737dd6b87,insight:INSIGHT_8D39BEA40A,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_8D39BEA40A,False
E_98a7db2bf18d,insight:INSIGHT_8D39BEA40A,expresses_lever,lever:photothermal_or_heat_management,INSIGHT_8D39BEA40A,False
E_72ca68bbed9d,paper:P0361,reports,insight:INSIGHT_A2F50C32D0,P0361,True
E_f4df96f3dfcd,paper:P0362,reports,insight:INSIGHT_F075FC7815,P0362,True
E_5b3d7e8b7e5e,insight:INSIGHT_F075FC7815,expresses_lever,lever:coordination_or_ion_pairing,INSIGHT_F075FC7815,False
E_ea55e3186acd,paper:P0362,reports,insight:INSIGHT_FF57E4CCBD,P0362,True
E_93bc1812da2e,insight:INSIGHT_FF57E4CCBD,expresses_lever,lever:coordination_or_ion_pairing,INSIGHT_FF57E4CCBD,False
E_7f7b9d410d59,paper:P0364,reports,insight:INSIGHT_43541829DD,P0364,True
E_fa72b7b06bc2,insight:INSIGHT_43541829DD,expresses_lever,lever:fixed_charge_selectivity,INSIGHT_43541829DD,False
E_3ddc3ed205a1,paper:P0365,reports,insight:INSIGHT_3A26550806,P0365,True
E_891de166fafc,insight:INSIGHT_3A26550806,expresses_lever,lever:hydration_and_solvation,INSIGHT_3A26550806,False
E_bfc74ab6453e,insight:INSIGHT_3A26550806,expresses_lever,lever:self_healing_or_tough_gel,INSIGHT_3A26550806,False
E_f09cc6036d95,paper:P0365,reports,insight:INSIGHT_05865BA276,P0365,True
E_86655eccae80,insight:INSIGHT_05865BA276,expresses_lever,lever:hydration_and_solvation,INSIGHT_05865BA276,False
E_8adb83f658fe,insight:INSIGHT_05865BA276,expresses_lever,lever:antifreeze_or_low_volatility_gel,INSIGHT_05865BA276,False
E_7b92bf26244f,paper:P0367,reports,insight:INSIGHT_4815EE0A47,P0367,True
E_b58463f9f835,insight:INSIGHT_4815EE0A47,expresses_lever,lever:coordination_or_ion_pairing,INSIGHT_4815EE0A47,False
E_f363a3cd745e,paper:P0368,reports,insight:INSIGHT_AC39C29C3B,P0368,True
E_d896a823d269,insight:INSIGHT_AC39C29C3B,expresses_lever,lever:photothermal_or_heat_management,INSIGHT_AC39C29C3B,False
E_2e4f5be5a678,paper:P0368,reports,insight:INSIGHT_A25D95DF64,P0368,True
