unordered_group_id,endpoint_a_global_concept_id,endpoint_a_label,endpoint_b_global_concept_id,endpoint_b_label,orientation_count,is_mirrored,oriented_mapping_candidate_ids,unordered_path_count,candidate_path_ids,distinct_shared_route_count,shared_global_concept_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,candidate_group_status,graph_eligible
UG_62cab4b07b98,GC_82f863b160b5,thermoelectric property,GC_b1c7239d288c,energy storage density,1,False,CM_62cab4b07b98,1,TC_bfa20bd798f0,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62d5094ed229,GC_7abe572670fb,output power,GC_d79839c8cbbe,temperature insensitive power density,1,False,CM_62d5094ed229,1,TC_84bebda1fbb5,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62db65ae69db,GC_1e7bbb5384f5,hydrogel network,GC_d7dd34855c70,effective thermo diffusion,1,False,CM_2a17308a6104,1,TC_64a2a7c998c2,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62ddfc212bdd,GC_c6f96235805f,tecs,GC_d621799f6002,metal ion,1,False,CM_79ffb26fe014,1,TC_19a3bd8f0baa,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62e114e157b9,GC_8bf412e10b3e,kinetic rate,GC_9aafb5515f04,dual cation,1,False,CM_18af10faf8bd,1,TC_0604118634c6,1,GC_8ad5b453cc37,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62e471856dbf,GC_2293caa23226,exceptional mechanical property,GC_d73905a53f98,redox pair electrolyte,1,False,CM_62e471856dbf,1,TC_732481ab7b16,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62e51d4ca386,GC_721baec40ec9,ion selective hydrogel,GC_feaad05da6d2,hydrogel nanoparticle,1,False,CM_62e51d4ca386,1,TC_d031b9c5b7d7,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62e79eeb6e02,GC_19f8e75768c9,undergoes stable coordination interaction,GC_6d1a13651ecc,dual network pva/agar hydrogel,1,False,CM_62e79eeb6e02,1,TC_21d85d568095,1,GC_4ee8ca676793,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62f087323ce4,GC_46a965349bc9,anion transport,GC_cf402379d512,concentration gradient,1,False,CM_62f087323ce4,1,TC_9886da76e845,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62fc56ae01b9,GC_1f740b9fe27e,oh-,GC_d3a504edb0cc,additional concentration gradient,1,False,CM_62fc56ae01b9,1,TC_dc623d4c2685,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
