paper_id,title,doi,node_role,left_node_id,left_label,right_node_id,right_label,review_status
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_29e6f835676f,thermal conductivity,TC_f4c58be6c82b,low lattice thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_f4c58be6c82b,low lattice thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,evidence_method,TC_d92c13f679c0,density functional theory,TC_f03d434aaf79,density functional theory calculations,retained_not_auto_merged
P1321,High-pressure sintering driven defect modulation for enhanced thermoelectric performance in Li+/S2- co-doped Cu2Se,10.1063/5.0326171,outcome_property,TC_29e6f835676f,thermal conductivity,TC_6c693438881a,low thermal conductivity,retained_not_auto_merged
P1322,High Thermoelectric Performance of ZnO by Coherent Phonon Scattering and Optimized Charge Transport,10.1002/adfm.202105008,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1322,High Thermoelectric Performance of ZnO by Coherent Phonon Scattering and Optimized Charge Transport,10.1002/adfm.202105008,outcome_property,TC_29e6f835676f,thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1322,High Thermoelectric Performance of ZnO by Coherent Phonon Scattering and Optimized Charge Transport,10.1002/adfm.202105008,outcome_property,TC_29e6f835676f,thermal conductivity,TC_b8cf7db31161,high thermal conductivity,retained_not_auto_merged
P1322,High Thermoelectric Performance of ZnO by Coherent Phonon Scattering and Optimized Charge Transport,10.1002/adfm.202105008,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1322,High Thermoelectric Performance of ZnO by Coherent Phonon Scattering and Optimized Charge Transport,10.1002/adfm.202105008,outcome_property,TC_9f58ed907e7b,electrical conductivity,TC_a186b2172bfb,low electrical conductivity,retained_not_auto_merged
P1325,Fabrication of Highly Conductive Porous Fe3O4@RGO/PEDOT:PSS Composite Films via Acid Post-Treatment and Their Applications as Electrochemical Supercapacitor and Thermoelectric Material,10.3390/polym15163453,material_system,TC_04ab71eea966,graphene oxide,TC_385ec1869ee3,graphene,retained_not_auto_merged
P1325,Fabrication of Highly Conductive Porous Fe3O4@RGO/PEDOT:PSS Composite Films via Acid Post-Treatment and Their Applications as Electrochemical Supercapacitor and Thermoelectric Material,10.3390/polym15163453,material_system,TC_04ab71eea966,graphene oxide,TC_e650dea66884,reduced graphene oxide,retained_not_auto_merged
P1325,Fabrication of Highly Conductive Porous Fe3O4@RGO/PEDOT:PSS Composite Films via Acid Post-Treatment and Their Applications as Electrochemical Supercapacitor and Thermoelectric Material,10.3390/polym15163453,material_system,TC_385ec1869ee3,graphene,TC_e650dea66884,reduced graphene oxide,retained_not_auto_merged
P1325,Fabrication of Highly Conductive Porous Fe3O4@RGO/PEDOT:PSS Composite Films via Acid Post-Treatment and Their Applications as Electrochemical Supercapacitor and Thermoelectric Material,10.3390/polym15163453,material_system,TC_4f82a6a840d2,PEDOT:PSS,TC_ee0a98d9cc93,PEDOT,retained_not_auto_merged
P1326,Atomic-Scale Pentagraphene Ribbons Stabilized with Alkali Metals under Moderate Pressures,10.1021/acs.inorgchem.2c03054,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1332,Flash combustion synthesis of electron doped-CaMnO3 thermoelectric oxides,10.1016/j.powtec.2014.05.022,evidence_method,TC_9f2a83a40ea0,scanning electron microscopy,TC_d22039aa1053,electron microscopy,retained_not_auto_merged
P1334,Improving the zT value of thermoelectrics by nanostructuring: tuning the nanoparticle morphology of Sb2Te3 by using ionic liquids,10.1039/c6dt04323b,evidence_method,TC_9f2a83a40ea0,scanning electron microscopy,TC_d22039aa1053,electron microscopy,retained_not_auto_merged
P1335,Proton-conducting hydrogel electrolytes with tight contact to binder-free MXene electrodes for high-performance thermally chargeable supercapacitor,10.1002/cey2.562,material_system,TC_523e031eaf4f,Ti3C2Tx,TC_ab08cdd1f9be,Ti3C2Tx MXene,retained_not_auto_merged
P1335,Proton-conducting hydrogel electrolytes with tight contact to binder-free MXene electrodes for high-performance thermally chargeable supercapacitor,10.1002/cey2.562,material_system,TC_523e031eaf4f,Ti3C2Tx,TC_d841b1c88fc2,binder-free ti3c2tx mxene ppy electrodes. acid,retained_not_auto_merged
